2024-09-20 17:30:33.899 | INFO  | 50388 | [restartedMain] ｜ c.y.y.YupaoBackendDuplicateApplication ｜ line-55 ｜ traceId_ ｜ Starting YupaoBackendDuplicateApplication using Java 1.8.0_422 on 192.168.2.7 with PID 50388 (/Users/wangzhenzhou/IdeaProjects/yupi/yupao-backend-duplicate/target/classes started by wangzhenzhou in /Users/wangzhenzhou/IdeaProjects/yupi/yupao-backend-duplicate)
2024-09-20 17:30:33.900 | INFO  | 50388 | [restartedMain] ｜ c.y.y.YupaoBackendDuplicateApplication ｜ line-646 ｜ traceId_ ｜ The following 1 profile is active: "dev"
2024-09-20 17:30:33.926 | INFO  | 50388 | [restartedMain] ｜ o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor ｜ line-255 ｜ traceId_ ｜ Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-09-20 17:30:33.926 | INFO  | 50388 | [restartedMain] ｜ o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor ｜ line-255 ｜ traceId_ ｜ For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-09-20 17:30:34.520 | INFO  | 50388 | [restartedMain] ｜ o.s.d.r.c.RepositoryConfigurationDelegate ｜ line-262 ｜ traceId_ ｜ Multiple Spring Data modules found, entering strict repository configuration mode!
2024-09-20 17:30:34.521 | INFO  | 50388 | [restartedMain] ｜ o.s.d.r.c.RepositoryConfigurationDelegate ｜ line-132 ｜ traceId_ ｜ Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-09-20 17:30:34.534 | INFO  | 50388 | [restartedMain] ｜ o.s.d.r.c.RepositoryConfigurationDelegate ｜ line-201 ｜ traceId_ ｜ Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2024-09-20 17:30:34.608 | WARN  | 50388 | [restartedMain] ｜ o.m.s.mapper.ClassPathMapperScanner ｜ line-44 ｜ traceId_ ｜ Skipping MapperFactoryBean with name 'teamMapper' and 'com.yupi.yupao.mapper.TeamMapper' mapperInterface. Bean already defined with the same name!
2024-09-20 17:30:34.608 | WARN  | 50388 | [restartedMain] ｜ o.m.s.mapper.ClassPathMapperScanner ｜ line-44 ｜ traceId_ ｜ Skipping MapperFactoryBean with name 'userMapper' and 'com.yupi.yupao.mapper.UserMapper' mapperInterface. Bean already defined with the same name!
2024-09-20 17:30:34.608 | WARN  | 50388 | [restartedMain] ｜ o.m.s.mapper.ClassPathMapperScanner ｜ line-44 ｜ traceId_ ｜ Skipping MapperFactoryBean with name 'userTeamMapper' and 'com.yupi.yupao.mapper.UserTeamMapper' mapperInterface. Bean already defined with the same name!
2024-09-20 17:30:34.608 | WARN  | 50388 | [restartedMain] ｜ o.m.s.mapper.ClassPathMapperScanner ｜ line-44 ｜ traceId_ ｜ No MyBatis mapper was found in '[com.yupi.yupao.mapper]' package. Please check your configuration.
